Predictor,Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
koizumi,int,int_36_trace,201.8018684387207,Pass,879.6009519100189,53761949,34476844,1.5594,7755130,159867,0.2249,0.0046,2.0614%,2.9736,8520634,53.2983,158.4882,27761949,14770600,1.8795,4116890,75145,0.2787,0.0051,1.8253%,2.7068,3680177,48.9743,132.5619
koizumi,int,int_3_trace,96.88034057617188,Pass,704.4424104690552,40000052,6990890,5.7217,4722773,31040,0.6756,0.0044,0.6572%,0.776,922011,29.704,23.0502,20000052,3529838,5.666,2249610,17314,0.6373,0.0049,0.7696%,0.8657,445678,25.7409,22.2838
koizumi,int,int_4_trace,188.2430238723755,Pass,898.9021949768066,59999657,13278592,4.5185,7683892,215579,0.5787,0.0162,2.8056%,3.593,4738078,21.9784,78.9684,30999657,6588709,4.705,4061423,106160,0.6164,0.0161,2.6139%,3.4246,2294503,21.6136,74.017
koizumi,int,int_5_trace,138.47165870666504,Pass,446.7682840824127,30000052,6566252,4.5688,2565027,81175,0.3906,0.0124,3.1647%,2.7058,3007523,37.0499,100.2506,15000052,3269388,4.588,1297750,39707,0.3969,0.0121,3.0597%,2.6471,1504357,37.8864,100.2901
koizumi,int,int_6_trace,130.25432968139648,Pass,404.2692918777466,30000052,7516644,3.9911,3119970,82282,0.4151,0.0109,2.6373%,2.7427,3824908,46.4854,127.4967,15000052,3703048,4.0507,1567043,39867,0.4232,0.0108,2.5441%,2.6578,1888144,47.3611,125.8758
koizumi,int,int_7_trace,128.17397212982178,Pass,440.3849258422852,40000048,13721016,2.9152,5944145,173652,0.4332,0.0127,2.9214%,4.3413,4255002,24.503,106.3749,20000048,5607127,3.5669,3000751,72285,0.5352,0.0129,2.4089%,3.6142,1731031,23.9473,86.5513
koizumi,int,int_8_trace,137.59827327728271,Pass,432.2375066280365,40000052,15345525,2.6066,5678944,231657,0.3701,0.0151,4.0792%,5.7914,5620584,24.2625,140.5144,20000052,6020252,3.3221,2813189,101379,0.4673,0.0168,3.6037%,5.0689,2394252,23.6168,119.7123
koizumi,int,int_9_trace,152.5840139389038,Pass,430.1636354923248,40000050,13461275,2.9715,5800876,145995,0.4309,0.0108,2.5168%,3.6499,3618963,24.7883,90.474,20000050,5500682,3.6359,2893544,64093,0.526,0.0117,2.2150%,3.2046,1560671,24.3501,78.0334
koizumi,media,media_0_trace,111.51635646820068,Pass,196.2993347644806,20000044,3336703,5.994,1125035,20661,0.3372,0.0062,1.8365%,1.033,562118,27.2067,28.1058,10000044,1470985,6.7982,559613,7735,0.3804,0.0053,1.3822%,0.7735,218816,28.2891,21.8815
koizumi,media,media_1_trace,93.95407485961914,Pass,190.10880541801453,20000048,3543017,5.6449,1052168,20829,0.297,0.0059,1.9796%,1.0414,574398,27.5768,28.7198,10000048,1538316,6.5006,496668,6181,0.3229,0.004,1.2445%,0.6181,183823,29.74,18.3822
koizumi,media,media_2_trace,114.14013576507568,Pass,235.2487916946411,20000038,3098860,6.454,682290,10117,0.2202,0.0033,1.4828%,0.5058,582720,57.5981,29.1359,10000038,1657792,6.0321,342782,6869,0.2068,0.0041,2.0039%,0.6869,381982,55.6096,38.1981
koizumi,media,media_3_trace,113.6968765258789,Pass,189.84679770469663,20000046,3470280,5.7632,1130407,24512,0.3257,0.0071,2.1684%,1.2256,666714,27.1995,33.3356,10000046,1568500,6.3755,568763,10640,0.3626,0.0068,1.8707%,1.064,299917,28.1877,29.9916
koizumi,web,web_0_trace,104.021315574646,Pass,643.3970441818237,39999493,20108138,1.9892,11904941,52316,0.592,0.0026,0.4394%,1.3079,6747062,128.9675,168.6787,20999493,10136110,2.0718,6370198,19767,0.6285,0.002,0.3103%,0.9413,2678431,135.5001,127.5474
koizumi,web,web_10_trace,67.32332420349121,Pass,315.01706290245056,19999796,11045711,1.8106,2621960,56637,0.2374,0.0051,2.1601%,2.8319,1824782,32.2189,91.24,10999796,3291844,3.3415,1436395,24291,0.4363,0.0074,1.6911%,2.2083,672071,27.6675,61.0985
koizumi,web,web_11_trace,43.46553611755371,Pass,183.21766781806943,10001443,11471484,0.8719,1391369,46447,0.1213,0.004,3.3382%,4.644,1974061,42.5014,197.3776,5001443,5045010,0.9914,674449,23317,0.1337,0.0046,3.4572%,4.6621,916344,39.2994,183.2159
koizumi,web,web_12_trace,61.48514461517334,Pass,155.9218192100525,15000009,9156506,1.6382,2254326,57834,0.2462,0.0063,2.5655%,3.8556,1953751,33.782,130.25,8000009,4250679,1.8821,1175254,36525,0.2765,0.0086,3.1078%,4.5656,1112002,30.445,139.0001
koizumi,web,web_13_trace,134.68522262573242,Pass,530.7347588539124,39999813,16825852,2.3773,4813533,116619,0.2861,0.0069,2.4227%,2.9155,3776939,32.387,94.4239,20999813,7094184,2.9601,2687998,54182,0.3789,0.0076,2.0157%,2.5801,1908201,35.2184,90.8675
koizumi,web,web_14_trace,235.48800468444824,Pass,762.1383857727051,70000043,19590476,3.5732,11059737,240552,0.5645,0.0123,2.1750%,3.4365,10426694,43.3449,148.9527,35000043,8462936,4.1357,5268168,93551,0.6225,0.0111,1.7758%,2.6729,4088229,43.7005,116.8064
koizumi,web,web_15_trace,61.94837951660156,Pass,266.3743550777436,14999858,7900297,1.8986,2411251,76791,0.3052,0.0097,3.1847%,5.1194,2311235,30.0977,154.0838,7999858,3226886,2.4791,1229867,33777,0.3811,0.0105,2.7464%,4.2222,903897,26.7607,112.9891
koizumi,web,web_16_trace,61.72074699401856,Pass,239.93385434150696,20000052,9911666,2.0178,1486259,31624,0.15,0.0032,2.1278%,1.5812,1189099,37.6012,59.4548,10000052,6898970,1.4495,732871,22149,0.1062,0.0032,3.0222%,2.2149,823538,37.1817,82.3534
koizumi,web,web_17_trace,54.710463523864746,Pass,259.7518219947815,15000021,6090066,2.463,2215426,20914,0.3638,0.0034,0.9440%,1.3943,877686,41.9664,58.5123,8000021,2275184,3.5162,1069158,4824,0.4699,0.0021,0.4512%,0.603,165808,34.3715,20.7259
koizumi,web,web_18_trace,40.12125015258789,Pass,258.1295099258423,15000059,3882915,3.8631,1853795,39905,0.4774,0.0103,2.1526%,2.6603,1988860,49.8399,132.5901,8000059,1952556,4.0972,994147,19903,0.5092,0.0102,2.0020%,2.4879,998126,50.1495,124.7648
koizumi,web,web_19_trace,46.80075454711914,Pass,263.9842073917389,15000016,9425841,1.5914,2562002,76286,0.2718,0.0081,2.9776%,5.0857,2350950,30.8176,156.7298,8000016,4285137,1.8669,1380363,49790,0.3221,0.0116,3.6070%,6.2237,1191659,23.9337,148.9571
koizumi,web,web_1_trace,158.93916416168213,Pass,423.2374866008759,39999048,11925845,3.354,5515292,126086,0.4625,0.0106,2.2861%,3.1522,4377126,34.7154,109.4308,20999048,4907632,4.2789,2909408,66048,0.5928,0.0135,2.2702%,3.1453,1872998,28.3581,89.1944
koizumi,web,web_20_trace,91.22524166107178,Pass,287.33771991729736,20000004,10234892,1.9541,3186911,64715,0.3114,0.0063,2.0306%,3.2357,1994862,30.8253,99.7431,10000004,3742007,2.6724,1586755,18369,0.424,0.0049,1.1576%,1.8369,574485,31.2747,57.4485
